Country,Region,HappinessScore,HappinessRank,GDPPerCapita,Family,LifeExpectancy,Freedom,GovernmentTrust,Generosity,Hemisphere,RealGDPPerCapita,Alcohol,Consumption
Singapore,Southeastern Asia,6.739,22,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,North,55.243,WinePerCapita,11
United Kingdom,Western Europe,6.725,23,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,North,40.412,WinePerCapita,195
Chile,Latin America and Caribbean,6.705,24,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,South,13.961,WinePerCapita,172
Panama,Latin America and Caribbean,6.701,25,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,North,14.333,WinePerCapita,18
Argentina,Latin America and Caribbean,6.65,26,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,South,12.654,WinePerCapita,221
Czech Republic,Central and Eastern Europe,6.596,27,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,North,18.484,WinePerCapita,134
United Arab Emirates,Middle East and Northern Africa,6.573,28,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,North,38.518,WinePerCapita,5
Uruguay,Latin America and Caribbean,6.545,29,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,South,15.298,WinePerCapita,220
Malta,Western Europe,6.488,30,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,North,24.771,WinePerCapita,120
Colombia,Latin America and Caribbean,6.481,31,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,Both,5.757,WinePerCapita,3
France,Western Europe,6.478,32,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,North,36.87,WinePerCapita,370
Thailand,Southeastern Asia,6.474,33,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,North,5.979,WinePerCapita,1
Qatar,Middle East and Northern Africa,6.375,36,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,North,59.324,WinePerCapita,7
Spain,Western Europe,6.361,37,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,North,26.617,WinePerCapita,112
Guatemala,Latin America and Caribbean,6.324,39,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,North,4.141,WinePerCapita,2
Suriname,Latin America and Caribbean,6.269,40,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,North,5.871,WinePerCapita,7
Bahrain,Middle East and Northern Africa,6.218,42,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,North,22.561,WinePerCapita,7
Trinidad and Tobago,Latin America and Caribbean,6.168,43,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,North,16.352,WinePerCapita,7
Venezuela,Latin America and Caribbean,6.084,44,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,North,15.692,WinePerCapita,3
Slovakia,Central and Eastern Europe,6.078,45,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,North,16.53,WinePerCapita,116
El Salvador,Latin America and Caribbean,6.068,46,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,North,3.769,WinePerCapita,2
Nicaragua,Latin America and Caribbean,5.992,48,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,North,2.144,WinePerCapita,1
Uzbekistan,Central and Eastern Europe,5.987,49,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,North,2.106,WinePerCapita,8
Italy,Western Europe,5.977,50,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,North,30.669,WinePerCapita,237
Ecuador,Latin America and Caribbean,5.976,51,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,Both,6.019,WinePerCapita,3
Belize,Latin America and Caribbean,5.956,52,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,North,4.96,WinePerCapita,8
Japan,Eastern Asia,5.921,53,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,North,38.972,WinePerCapita,16
Kazakhstan,Central and Eastern Europe,5.919,54,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,North,7.715,WinePerCapita,12
Moldova,Central and Eastern Europe,5.897,55,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,North,1.913,WinePerCapita,18
Poland,Central and Eastern Europe,5.835,57,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,North,12.415,WinePerCapita,56
South Korea,Eastern Asia,5.835,57,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,North,27.105,WinePerCapita,9
Bolivia,Latin America and Caribbean,5.822,59,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,South,3.117,WinePerCapita,8
Lithuania,Central and Eastern Europe,5.813,60,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,North,14.913,WinePerCapita,56
Belarus,Central and Eastern Europe,5.802,61,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,North,5.023,WinePerCapita,42
Slovenia,Central and Eastern Europe,5.768,63,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,North,21.65,WinePerCapita,276
Peru,Latin America and Caribbean,5.743,64,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,Both,6.031,WinePerCapita,21
Turkmenistan,Central and Eastern Europe,5.658,65,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,North,6.389,WinePerCapita,32
Mauritius,Sub-Saharan Africa,5.648,66,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,North,9.682,WinePerCapita,18
Latvia,Central and Eastern Europe,5.56,68,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,North,14.07,WinePerCapita,62
Cyprus,Western Europe,5.546,69,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,North,23.541,WinePerCapita,113
Paraguay,Latin America and Caribbean,5.538,70,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,South,4.078,WinePerCapita,74
Romania,Central and Eastern Europe,5.528,71,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,North,9.532,WinePerCapita,167
Estonia,Central and Eastern Europe,5.517,72,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,North,17.737,WinePerCapita,59
Jamaica,Latin America and Caribbean,5.51,73,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,North,4.879,WinePerCapita,9
Croatia,Central and Eastern Europe,5.488,74,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,North,12.299,WinePerCapita,254
Turkey,Middle East and Northern Africa,5.389,78,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,North,10.863,WinePerCapita,7
Jordan,Middle East and Northern Africa,5.303,80,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,North,4.088,WinePerCapita,1
Azerbaijan,Central and Eastern Europe,5.291,81,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,North,3.881,WinePerCapita,5
Philippines,Southeastern Asia,5.279,82,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,North,2.951,WinePerCapita,1
China,Eastern Asia,5.245,83,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,North,8.117,WinePerCapita,8
Kyrgyzstan,Central and Eastern Europe,5.185,85,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,North,1.22,WinePerCapita,6
Serbia,Central and Eastern Europe,5.177,86,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,North,5.426,WinePerCapita,127
Bosnia and Herzegovina,Central and Eastern Europe,5.163,87,0.93383,0.64367,0.70766,0.09511,0,0.29889,North,4.809,WinePerCapita,8
Montenegro,Central and Eastern Europe,5.161,88,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,North,7.029,WinePerCapita,128
Dominican Republic,Latin America and Caribbean,5.155,89,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,North,6.794,WinePerCapita,9
Morocco,Middle East and Northern Africa,5.151,90,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,North,2.893,WinePerCapita,10
Hungary,Central and Eastern Europe,5.145,91,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,North,12.82,WinePerCapita,185
Lebanon,Middle East and Northern Africa,5.129,93,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,North,8.257,WinePerCapita,31
Portugal,Western Europe,5.123,94,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,North,19.872,WinePerCapita,339
Macedonia,Central and Eastern Europe,5.121,95,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,North,4.834,WinePerCapita,86
Vietnam,Southeastern Asia,5.061,96,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075,North,2.171,WinePerCapita,1
Tunisia,Middle East and Northern Africa,5.045,98,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,North,3.689,WinePerCapita,20
Greece,Western Europe,5.033,99,1.24886,0.75473,0.80029,0.05822,0.04127,0,North,17.882,WinePerCapita,218
